word,Valence,Arousal,Dominance
認めます,0.786,0.37,0.661
認めた,0.714,0.443,0.765
了承,0.819,0.539,0.83
了承,0.796,0.528,0.777
アクメ,0.408,0.435,0.375
にきび,0.167,0.474,0.308
どんぐり,0.448,0.198,0.192
音響,0.542,0.462,0.536
音響,0.611,0.33,0.509
知り合い,0.646,0.491,0.639
知り合い,0.656,0.29,0.67
知り合い,0.906,0.358,0.632
黙認,0.542,0.48,0.554
取得,0.833,0.468,0.7
取得,0.735,0.51,0.817
取得,0.698,0.509,0.736
買収,0.773,0.66,0.79
無罪放免,0.583,0.571,0.611
免罪,0.76,0.497,0.7
エーカー,0.583,0.387,0.423
面積,0.741,0.45,0.528
エーカー,0.51,0.363,0.5
アクロバット,0.708,0.828,0.602
アクリル,0.582,0.279,0.42
行為,0.656,0.704,0.735
演技,0.698,0.643,0.5
アクション,0.76,0.898,0.802
アクションフィギュア,0.615,0.774,0.611
実行可能,0.673,0.702,0.613
活性化,0.764,0.65,0.806
アクティベーション,0.781,0.8,0.754
アクティブ,0.847,0.73,0.731
活動家,0.531,0.653,0.877
アクティビティ,0.701,0.66,0.807
俳優,0.653,0.561,0.629
女優,0.633,0.556,0.596
実際,0.729,0.4,0.716
現実,0.75,0.464,0.6
アクチュアリー,0.51,0.404,0.491
視力,0.469,0.378,0.741
洞察力,0.564,0.66,0.679
鍼,0.531,0.324,0.549
急性,0.427,0.652,0.534
急に,0.417,0.543,0.491
広告,0.521,0.705,0.558
格言,0.517,0.415,0.566
断固たる,0.344,0.529,0.575
適応する,0.74,0.355,0.551
適応可能な,0.735,0.423,0.641
適応,0.663,0.365,0.609
追加,0.728,0.49,0.554
追加した,0.562,0.405,0.509
補遺,0.392,0.37,0.418
加算器,0.388,0.461,0.588
常習者,0.075,0.696,0.327
中毒,0.156,0.712,0.483
中毒,0.18,0.806,0.42
中毒性のある,0.302,0.683,0.472
添加,0.562,0.373,0.471
追加,0.673,0.462,0.526
添加剤,0.561,0.633,0.691
住所,0.65,0.327,0.567
宛名,0.622,0.382,0.538
住所,0.51,0.354,0.45
達人,0.594,0.539,0.789
妥当性,0.615,0.435,0.702
適切,0.854,0.264,0.705
遵守する,0.633,0.339,0.554
遵守,0.76,0.307,0.63
固執する,0.561,0.385,0.555
付着している,0.612,0.561,0.537
接着力,0.521,0.445,0.586
接着剤,0.604,0.35,0.413
さようなら,0.25,0.471,0.342
脂肪,0.333,0.35,0.391
隣接,0.365,0.417,0.375
隣接,0.645,0.276,0.536
形容詞,0.57,0.316,0.569
隣接,0.52,0.4,0.393
休会する,0.385,0.456,0.475
延期,0.438,0.51,0.37
裁く,0.559,0.52,0.683
裁定,0.551,0.462,0.691
付属品,0.459,0.44,0.426
調整,0.647,0.327,0.638
アジャスター,0.51,0.54,0.76
調整,0.59,0.52,0.661
アジュバント,0.51,0.5,0.456
管理者,0.688,0.42,0.854
管理する,0.635,0.425,0.86
管理,0.625,0.404,0.786
行政,0.542,0.415,0.579
管理者,0.538,0.48,0.902
立派な,0.929,0.6,0.87
提督,0.844,0.49,0.847
アドミラルティ,0.594,0.547,0.733
感嘆,0.969,0.583,0.726
憧れ,0.867,0.692,0.704
賞賛した,0.917,0.56,0.815
賛美者,0.796,0.72,0.65
賞賛する,0.867,0.578,0.629
許容性,0.802,0.58,0.602
許容できる,0.78,0.528,0.642
入場料,0.802,0.415,0.732
認める,0.538,0.423,0.667
アドミタンス,0.69,0.451,0.598
認めた,0.72,0.49,0.767
認める,0.62,0.5,0.546
混合物,0.45,0.375,0.438
訓戒,0.357,0.606,0.455
騒ぎ,0.52,0.423,0.385
アドビ,0.5,0.319,0.328
思春期,0.487,0.694,0.444
思春期,0.781,0.68,0.509
採用,0.694,0.612,0.701
可決,0.625,0.566,0.589
養子縁組,0.531,0.469,0.52
愛らしい,0.969,0.519,0.457
礼拝,0.885,0.699,0.708
崇拝します,0.854,0.438,0.657
崇拝する,0.885,0.62,0.717
飾る,0.91,0.424,0.482
装飾品,0.918,0.373,0.377
アドレナリン,0.865,0.92,0.786
アドレナリン,0.765,0.965,0.825
漂流,0.398,0.486,0.23
大人,0.815,0.491,0.787
粗悪品,0.188,0.865,0.37
姦通者,0.229,0.814,0.407
姦通,0.12,0.922,0.51
成人期,0.541,0.454,0.652
前進,0.673,0.472,0.858
高度,0.844,0.623,0.797
アドバンス,0.776,0.65,0.839
前進,0.929,0.608,0.812
アドバンテージ,0.917,0.548,0.859
有利,0.837,0.64,0.789
出現,0.665,0.56,0.627
冒険,0.917,0.857,0.71
冒険家,0.781,0.839,0.868
冒険,0.812,0.764,0.749
冒険的な,0.969,0.898,0.722
敵対者,0.349,0.777,0.457
不利な,0.323,0.61,0.385
逆境,0.276,0.76,0.538
宣伝する,0.5,0.529,0.58
広告,0.6,0.566,0.539
広告,0.622,0.608,0.632
広告,0.551,0.5,0.595
アドバイス,0.698,0.408,0.688
お勧め,0.867,0.48,0.51
助言する,0.76,0.393,0.705
助言した,0.823,0.33,0.509
忠告,0.698,0.235,0.655
顧問,0.745,0.362,0.705
アドバイザー,0.646,0.35,0.689
勧告,0.656,0.429,0.633
擁護,0.5,0.646,0.731
提唱する,0.551,0.53,0.818
イージス,0.49,0.439,0.462
エアレーション,0.55,0.5,0.433
空中,0.615,0.461,0.463
エアロビクス,0.708,0.771,0.627
飛行場,0.541,0.74,0.678
空力,0.561,0.724,0.728
空気力学,0.59,0.663,0.722
航空学,0.551,0.633,0.688
飛行機,0.714,0.642,0.644
航空宇宙,0.643,0.52,0.779
美的,0.708,0.442,0.526
美学,0.847,0.327,0.549
病因,0.48,0.398,0.615
遠く,0.396,0.373,0.358
愛嬌のある,0.704,0.38,0.452
事件、出来事,0.52,0.459,0.657
影響,0.458,0.569,0.578
影響,0.35,0.574,0.394
愛情,0.898,0.559,0.696
愛情深い,0.949,0.422,0.55
愛情,0.76,0.547,0.655
アフィシェ,0.479,0.265,0.402
宣誓供述書,0.469,0.584,0.526
提携している,0.673,0.519,0.535
所属,0.615,0.594,0.5
親和性,0.8,0.5,0.537
肯定する,0.745,0.509,0.731
肯定,0.75,0.5,0.689
肯定的,0.854,0.589,0.816
肯定的に,0.908,0.5,0.811
接辞,0.438,0.335,0.411
苦しめる,0.302,0.555,0.293
苦しんだ,0.271,0.5,0.167
苦悩,0.294,0.635,0.392
豊かさ,0.663,0.618,0.722
裕福な,0.756,0.388,0.477
余裕ある,0.571,0.58,0.575
手頃な価格,0.84,0.398,0.493
侮辱,0.327,0.74,0.547
侮辱された,0.385,0.75,0.527
遠く,0.594,0.37,0.373
火災,0.367,0.904,0.675
浮かぶ,0.602,0.427,0.444
前に,0.5,0.337,0.382
前述の,0.49,0.316,0.408
前述の,0.531,0.358,0.478
恐れ,0.01,0.775,0.245
あらためて,0.643,0.521,0.48
後方,0.48,0.417,0.518
来世,0.571,0.567,0.568
余波,0.312,0.449,0.444
午後,0.533,0.388,0.339
アフターシェーブ,0.406,0.384,0.415
後味,0.354,0.362,0.455
結果論,0.396,0.392,0.349
アガ,0.542,0.327,0.398
アガペー,0.612,0.529,0.464
瑪瑙,0.54,0.377,0.483
年,0.561,0.226,0.498
高齢者,0.135,0.365,0.236
エージェンシー,0.46,0.296,0.583
議題,0.531,0.296,0.553
エージェント,0.48,0.439,0.755
凝集,0.45,0.765,0.509
悪化させる,0.224,0.77,0.464
悪化した,0.079,0.76,0.43
悪化させる,0.108,0.778,0.357
悪化させる,0.257,0.794,0.64
悪化,0.071,0.784,0.613
集計,0.73,0.378,0.556
集計,0.583,0.517,0.694
攻撃的な,0.059,0.971,0.639
侵略,0.094,0.929,0.533
攻撃的,0.125,0.949,0.648
積極的に,0.25,0.926,0.688
攻撃性,0.077,0.913,0.648
侵略者,0.146,0.948,0.823
ああああ,0.26,0.5,0.4
びっくり,0.133,0.865,0.464
ああああ,0.281,0.635,0.243
アジャイル,0.8,0.657,0.775
機敏,0.72,0.702,0.815
エージング,0.214,0.255,0.284
かき混ぜる,0.3,0.796,0.593
動揺した,0.444,0.882,0.491
攪拌,0.24,0.931,0.447
輝く,0.78,0.51,0.797
不可知論者,0.306,0.396,0.574
前に,0.317,0.28,0.404
苦しむ,0.083,0.8,0.34
苦痛,0.083,0.775,0.393
広場恐怖症,0.127,0.712,0.438
同意,0.906,0.26,0.545
納得,0.906,0.5,0.696
同意した,0.797,0.449,0.574
同意する,0.854,0.48,0.557
合意,0.76,0.44,0.736
攻撃的な,0.083,0.918,0.751
農業,0.686,0.321,0.473
農業,0.64,0.357,0.465
座礁,0.333,0.34,0.445
アグア,0.598,0.18,0.436
先に,0.708,0.52,0.673
ああ,0.562,0.517,0.241
ああああああ,0.552,0.649,0.288
おいおい,0.5,0.497,0.38
援助,0.796,0.491,0.541
補佐官,0.724,0.342,0.434
助ける,0.643,0.533,0.569
AIDS,0.561,0.48,0.5
よくない,0.375,0.434,0.385
病んでいる,0.094,0.518,0.153
病気,0.146,0.734,0.277
標的,0.481,0.569,0.567
あてもなく,0.15,0.267,0.183
空気,0.708,0.163,0.427
エアバッグ,0.51,0.402,0.433
空挺,0.542,0.519,0.385
航空機,0.646,0.644,0.691
空母,0.49,0.74,0.727
飛行場,0.601,0.65,0.645
エアヘッド,0.271,0.481,0.276
空輸,0.573,0.622,0.642
航空会社,0.65,0.482,0.688
旅客機,0.667,0.777,0.647
エアロック,0.398,0.52,0.447
エアマン,0.587,0.716,0.721
飛行機,0.719,0.702,0.708
空港,0.729,0.684,0.682
放映,0.583,0.196,0.37
飛行船,0.542,0.472,0.529
空域,0.562,0.51,0.64
対気速度,0.583,0.78,0.544
滑走路,0.55,0.69,0.649
気密,0.479,0.381,0.57
気道,0.638,0.585,0.482
通路,0.438,0.222,0.283
エイト,0.385,0.39,0.402
半開き,0.46,0.413,0.446
別名,0.459,0.358,0.351
同族の,0.639,0.343,0.523
アラバスター,0.542,0.404,0.445
警報,0.241,0.882,0.698
目覚まし時計,0.542,0.727,0.642
警戒した,0.188,0.822,0.492
憂慮すべき,0.204,0.89,0.585
悲しいかな,0.571,0.31,0.279
アルブ,0.521,0.38,0.427
アルバトロス,0.5,0.445,0.527
アルビノ,0.5,0.24,0.358
アルバム,0.635,0.349,0.453
錬金術,0.541,0.583,0.693
アルコール,0.323,0.667,0.377
アルコール依存症,0.153,0.688,0.361
アルコール依存症,0.061,0.779,0.407
アルコーブ,0.49,0.34,0.356
市会議員,0.55,0.459,0.691
エール,0.53,0.45,0.358
アラート,0.479,0.82,0.648
覚醒,0.375,0.875,0.75
アラート,0.337,0.804,0.673
アルファルファ,0.546,0.25,0.311
代数,0.44,0.34,0.565
代数的,0.531,0.412,0.441
アルゴリズム,0.448,0.394,0.559
エイリアス,0.541,0.353,0.333
アリバイ,0.396,0.528,0.556
エイリアン,0.41,0.615,0.491
疎外する,0.247,0.5,0.523
疎外された,0.41,0.423,0.559
疎外,0.378,0.53,0.462
降りる,0.667,0.657,0.605
整列する,0.656,0.364,0.627
整列,0.583,0.275,0.553
アラインメント,0.643,0.412,0.683
似ている,0.653,0.173,0.444
栄養補給,0.781,0.551,0.602
慰謝料,0.612,0.477,0.464
アリコート,0.44,0.31,0.404
生きている,0.816,0.637,0.731
アルカリ,0.49,0.35,0.408
アルカロイド,0.433,0.562,0.402
和らげる,0.417,0.406,0.398
申し立て,0.578,0.578,0.608
主張する,0.418,0.482,0.587
申し立てられた,0.365,0.522,0.52
忠誠,0.917,0.398,0.75
寓話的な,0.517,0.558,0.598
アレゴリー,0.615,0.58,0.509
アレグロ,0.635,0.627,0.453
アレルギー,0.135,0.549,0.273
アレルギー,0.296,0.606,0.389
緩和する,0.869,0.27,0.528
軽減,0.735,0.2,0.491
路地,0.347,0.5,0.355
路地,0.357,0.471,0.382
アライアンス,0.696,0.473,0.769
同盟した,0.714,0.245,0.642
アリゲーター,0.354,0.704,0.645
割り当てる,0.673,0.462,0.672
割り当て,0.604,0.388,0.679
割り当てる,0.622,0.481,0.616
割当,0.6,0.39,0.64
許可する,0.698,0.429,0.538
許容できる,0.698,0.5,0.561
手当,0.673,0.382,0.591
許可された,0.73,0.36,0.655
合金,0.583,0.443,0.593
オールスマイル,0.786,0.528,0.43
魅力,0.804,0.585,0.686
魅力的な,0.837,0.745,0.843
ほのめかし,0.44,0.308,0.462
沖積,0.323,0.49,0.491
味方,0.792,0.32,0.688
アルマナック,0.688,0.19,0.412
全能,0.938,0.874,0.958
アーモンド,0.698,0.183,0.314
アロフト,0.771,0.373,0.7
アロハ,0.698,0.44,0.441
1人,0.333,0.167,0.216
並んで,0.458,0.333,0.347
よそよそしい,0.189,0.423,0.302
大声で,0.458,0.713,0.75
アルファ,0.708,0.34,0.755
アルファベット,0.562,0.204,0.672
アルファベット順,0.537,0.296,0.535
高山,0.594,0.337,0.474
もうええええ,0.592,0.717,0.351
祭壇,0.724,0.387,0.635
祭壇の少年,0.434,0.206,0.35
変更する,0.333,0.694,0.654
変更,0.167,0.798,0.609
口論,0.17,0.806,0.5
変更されました,0.255,0.765,0.5
代わりの,0.625,0.363,0.589
交互に,0.48,0.494,0.542
別,0.628,0.373,0.631
高度計,0.615,0.51,0.58
高度,0.708,0.482,0.736
アルト,0.656,0.404,0.73
全体的に,0.833,0.324,0.644
アルミニウム,0.449,0.28,0.434
卒業生,0.633,0.368,0.422
肺胞,0.469,0.481,0.367
アルツハイマー,0.194,0.518,0.319
アマルガム,0.438,0.333,0.51
合併,0.406,0.47,0.531
アマレット,0.543,0.551,0.375
集める,0.552,0.465,0.465
アマチュア,0.469,0.5,0.409
驚く,0.896,0.843,0.783
驚いた,0.796,0.779,0.533
驚愕,0.827,0.872,0.51
驚き,0.75,0.8,0.639
すばらしい,0.906,0.837,0.849
驚くほど,0.918,0.765,0.92
大使,0.651,0.529,0.917
アンバー,0.635,0.308,0.369
雰囲気,0.735,0.356,0.426
周囲,0.625,0.36,0.582
あいまいさ,0.164,0.46,0.37
あいまいな,0.265,0.462,0.358
アンビット,0.479,0.38,0.386
野心,0.51,0.804,0.661
野心的,0.484,0.821,0.717
相反する,0.51,0.404,0.482
アンブロシア,0.571,0.452,0.48
救急車,0.5,0.75,0.609
待ち伏せ,0.281,0.83,0.5
改善する,0.77,0.548,0.747
アーメン,0.781,0.182,0.542
従順,0.448,0.41,0.406
改める,0.688,0.406,0.658
修正,0.531,0.459,0.606
修正する,0.64,0.366,0.517
アメニティ,0.75,0.327,0.574
アメジスト,0.622,0.406,0.517
愛嬌のある,0.847,0.29,0.483
友好的,0.875,0.33,0.507
真ん中,0.51,0.34,0.256
中に,0.48,0.33,0.316
アミノ,0.551,0.402,0.433
弾薬,0.323,0.765,0.621
アンモニア,0.292,0.587,0.409
アンモニウム,0.354,0.396,0.368
弾薬,0.338,0.635,0.667
健忘症,0.296,0.33,0.308
恩赦,0.551,0.451,0.814
好色な,0.844,0.67,0.636
まとまりのない,0.327,0.402,0.349
償却,0.592,0.491,0.522
額,0.562,0.422,0.649
情事,0.865,0.48,0.652
アンプ,0.439,0.393,0.375
アンパサンド,0.48,0.448,0.483
アンフェタミン,0.133,0.667,0.526
両生類,0.427,0.357,0.474
水陸両用,0.479,0.346,0.445
円形劇場,0.653,0.48,0.545
十分な,0.744,0.349,0.719
増幅,0.69,0.677,0.81
増幅する,0.677,0.735,0.827
振幅,0.694,0.439,0.692
十分に,0.781,0.431,0.766
切断する,0.092,0.66,0.509
切断,0.1,0.755,0.483
ばか,0.385,0.602,0.321
お守り,0.781,0.26,0.63
アミューズ,0.812,0.684,0.664
面白がった,0.942,0.847,0.596
アミューズメント,0.929,0.837,0.803
面白い,0.96,0.829,0.632
アナ,0.541,0.3,0.314
アナコンダ,0.146,0.83,0.54
麻酔,0.35,0.217,0.473
麻酔薬,0.449,0.268,0.509
アナグラム,0.552,0.327,0.449
アナル,0.333,0.798,0.334
鎮痛剤,0.417,0.321,0.441
類似の,0.531,0.27,0.5
アナログ,0.57,0.32,0.446
類推,0.51,0.367,0.509
分析,0.729,0.448,0.705
アナリスト,0.604,0.415,0.755
分析的な,0.665,0.521,0.634
分析的な,0.625,0.324,0.8
分析する,0.667,0.462,0.71
アナライザ,0.625,0.556,0.854
アナフィラキシー,0.378,0.588,0.5
アナキズム,0.125,0.804,0.623
アナキスト,0.204,0.7,0.759
無政府状態,0.146,0.755,0.62
吻合,0.375,0.47,0.49
アナテマ,0.286,0.49,0.519
解剖学的,0.562,0.442,0.546
解剖学,0.562,0.39,0.571
祖先,0.592,0.388,0.594
祖先の,0.64,0.481,0.75
祖先,0.708,0.519,0.717
アンカー,0.52,0.284,0.564
停泊地,0.5,0.325,0.639
古代,0.42,0.217,0.439
補助的な,0.449,0.442,0.278
アンドロゲン,0.255,0.523,0.527
アンドロイド,0.663,0.436,0.5
逸話,0.583,0.529,0.5
貧血,0.188,0.327,0.31
貧血,0.167,0.279,0.155
アネモネ,0.552,0.538,0.327
麻酔,0.365,0.216,0.394
麻酔科医,0.419,0.224,0.526
麻酔薬,0.35,0.264,0.482
動脈瘤,0.115,0.69,0.536
あらためて,0.771,0.358,0.385
天使,0.906,0.158,0.704
天使のような,0.927,0.298,0.668
怒り,0.167,0.865,0.657
怒った,0.01,0.86,0.547
アンガーマネジメント,0.26,0.632,0.482
狭心症,0.23,0.63,0.464
血管造影,0.347,0.52,0.465
血管造影,0.378,0.536,0.52
角度,0.541,0.33,0.455
釣り,0.625,0.408,0.5
アンゴラ,0.529,0.425,0.405
最も怒っている,0.094,0.892,0.43
怒り,0.122,0.83,0.604
怒りのつぶやき,0.265,0.644,0.471
不安,0.167,0.888,0.333
苦悩,0.153,0.792,0.265
苦悩した,0.135,0.72,0.307
角度のある,0.449,0.281,0.444
無水,0.456,0.365,0.355
動物,0.521,0.51,0.513
アニメーション化,0.827,0.755,0.635
アニメーション,0.823,0.676,0.538
アニメーション,0.888,0.75,0.549
敵意,0.51,0.724,0.545
敵意,0.698,0.676,0.466
足首,0.5,0.274,0.234
アンクレット,0.41,0.276,0.302
年表,0.427,0.61,0.424
別館,0.594,0.35,0.458
併合,0.342,0.5,0.555
別館,0.584,0.35,0.392
全滅させる,0.115,0.918,0.681
全滅した,0.08,0.76,0.324
消滅,0.041,0.8,0.591
記念日,0.88,0.77,0.723
注釈を付ける,0.592,0.469,0.441
注釈,0.604,0.47,0.619
発表,0.694,0.618,0.611
発表,0.729,0.491,0.482
アナウンサー,0.602,0.57,0.732
迷惑,0.094,0.765,0.286
迷惑,0.167,0.718,0.342
イライラ,0.104,0.783,0.345
うるさい,0.26,0.573,0.352
迷惑,0.082,0.853,0.348
イライラする,0.146,0.778,0.435
通年,0.552,0.236,0.5
年金,0.521,0.304,0.527
無効にする,0.25,0.448,0.364
環状,0.31,0.385,0.412
廃止,0.153,0.375,0.447
環,0.458,0.38,0.376
油そそがれた,0.5,0.368,0.579
油注ぎ,0.653,0.35,0.547
異常な,0.281,0.48,0.423
異常,0.188,0.538,0.404
アノン,0.479,0.354,0.298
匿名,0.469,0.255,0.43
匿名,0.396,0.291,0.431
食欲不振,0.16,0.618,0.245
答え,0.537,0.373,0.661
答えられる,0.708,0.481,0.75
答える,0.684,0.5,0.607
蟻,0.448,0.216,0.216
拮抗,0.224,0.618,0.524
拮抗薬,0.24,0.615,0.7
敵対的,0.296,0.604,0.565
敵対する,0.143,0.663,0.629
アンティ,0.448,0.32,0.417
前科,0.427,0.551,0.566
カモシカ,0.542,0.51,0.5
アンテナ,0.521,0.327,0.358
前方,0.51,0.245,0.362
国歌,0.78,0.343,0.729
蟻塚,0.327,0.578,0.377
アンソロジー,0.338,0.406,0.537
炭疽菌,0.188,0.73,0.5
人類学的,0.367,0.39,0.49
人類学者,0.551,0.385,0.725
人類学,0.49,0.367,0.582
アンチ,0.365,0.412,0.384
対空,0.33,0.622,0.629
抗生物質,0.51,0.373,0.658
抗生物質,0.448,0.406,0.557
反キリスト,0.082,0.837,0.544
予想,0.622,0.469,0.667
期待,0.698,0.539,0.711
予期せぬ,0.653,0.551,0.682
おふざけ,0.448,0.74,0.236
解毒剤,0.541,0.49,0.629
抗真菌,0.408,0.412,0.441
反重力,0.43,0.714,0.658
アンチモン,0.378,0.398,0.49
反感,0.198,0.549,0.393
古物商,0.5,0.233,0.426
時代遅れの,0.42,0.392,0.236
アンティーク,0.634,0.29,0.518
骨董品,0.54,0.37,0.595
古代,0.385,0.333,0.556
防腐剤,0.438,0.37,0.623
反社会的,0.146,0.686,0.391
アンチテーゼ,0.396,0.412,0.536
正反対の,0.271,0.509,0.358
抗ウィルス薬,0.459,0.47,0.549
枝角,0.448,0.47,0.5
腹立たしい,0.449,0.558,0.417
肛門,0.347,0.644,0.35
アンビル,0.38,0.51,0.604
不安,0.146,0.865,0.342
不安発作,0.15,0.925,0.446
気になる,0.281,0.875,0.434
不安,0.235,0.814,0.282
どんなときも,0.625,0.461,0.436
大動脈,0.448,0.51,0.542
大動脈,0.436,0.54,0.438
ペース,0.536,0.5,0.536
アパッチ,0.687,0.469,0.5
アパート,0.719,0.393,0.58
アパート,0.704,0.337,0.443
無気力な,0.188,0.292,0.333
無関心,0.184,0.212,0.204
類人猿,0.548,0.389,0.336
絞り,0.612,0.45,0.667
頂点,0.57,0.433,0.418
アブラムシ,0.388,0.473,0.407
媚薬,0.75,0.846,0.667
各個に,0.439,0.259,0.383
意気揚々と,0.5,0.509,0.582
黙示録,0.05,0.867,0.736
黙示録的な,0.173,0.88,0.75
申し訳ありません,0.479,0.461,0.571
弁明者,0.406,0.429,0.526
謝罪,0.551,0.378,0.389
謝罪,0.571,0.346,0.402
背教,0.388,0.52,0.517
背教者,0.342,0.5,0.528
使徒,0.646,0.347,0.732
使徒的,0.592,0.3,0.717
アポストロフィ,0.469,0.368,0.537
薬剤師,0.561,0.328,0.529
ぞっとした,0.194,0.792,0.562
恐ろしい,0.16,0.827,0.415
装置,0.375,0.353,0.377
衣服,0.698,0.435,0.453
見かけ上,0.473,0.383,0.398
どうやら,0.531,0.41,0.426
幻影,0.406,0.573,0.636
訴える,0.663,0.598,0.558
現れる,0.735,0.506,0.567
外観,0.669,0.49,0.534
なだめる,0.633,0.278,0.434
上訴人,0.327,0.588,0.568
追加,0.573,0.464,0.453
付属物,0.229,0.382,0.438
虫垂切除術,0.177,0.67,0.554
虫垂炎,0.031,0.64,0.347
付録,0.365,0.387,0.425
食欲,0.704,0.637,0.581
前菜,0.755,0.56,0.406
食欲をそそる,0.806,0.657,0.688
拍手,0.865,0.824,0.464
拍手,0.953,0.857,0.621
りんご,0.811,0.3,0.264
リンゴジュース,0.765,0.204,0.294
アップルジャック,0.604,0.431,0.473
アップルソース,0.75,0.167,0.291
