word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
累積,0,0,0,0,0,0,0,0,0,0
正確さ,0,0,0,0,0,0,0,0,0,0
正確,0,0,0,0,0,0,1,0,0,1
呪われた,1,0,0,1,0,1,0,1,0,0
告発,1,0,1,0,0,1,0,0,0,0
対格,0,0,0,0,0,1,0,0,0,0
被告人,1,0,0,1,0,1,0,0,0,0
告発者,1,0,0,1,0,1,0,0,0,0
非難する,1,0,0,1,0,1,0,0,0,0
慣れた,0,0,0,0,0,0,0,0,0,0
エース,0,0,0,0,0,0,1,0,0,0
酢酸,0,0,0,0,0,0,0,0,0,0
痛み,0,0,0,0,0,1,0,1,0,0
成し遂げる,0,0,0,0,1,0,1,0,0,1
業績,0,1,0,0,1,0,1,0,0,1
痛む,0,0,0,0,0,1,0,1,0,0
酸,0,0,0,0,0,1,0,0,0,0
酸度,0,0,0,0,0,0,0,0,0,0
認めます,0,0,0,0,0,0,0,0,0,0
認めた,0,0,0,0,0,0,0,0,0,0
了承,0,0,0,0,0,0,1,0,0,0
アクメ,0,0,0,0,0,0,0,0,0,0
音響,0,0,0,0,0,0,0,0,0,0
音響,0,0,0,0,0,0,0,0,0,0
知り合い,0,0,0,0,0,0,0,0,0,0
知り合い,0,0,0,0,0,0,0,0,0,0
知り合い,0,0,0,0,0,0,0,0,0,0
黙認,0,0,0,0,0,0,0,0,0,0
取得,0,0,0,0,0,0,1,0,0,0
取得,0,1,0,0,0,0,1,0,0,0
取得,0,0,0,0,0,0,0,0,0,0
買収,0,0,0,0,0,0,0,0,0,0
面積,0,0,0,0,0,0,0,0,0,0
エーカー,0,0,0,0,0,0,0,0,0,0
アクロバット,0,0,0,1,1,0,1,0,0,1
行為,0,0,0,0,0,0,0,0,0,0
演技,0,0,0,0,0,0,0,0,0,0
アクション,0,0,0,0,0,0,1,0,0,0
実行可能,1,0,1,0,0,1,0,0,0,0
アクティブ,0,0,0,0,0,0,0,0,0,0
アクティビティ,0,0,0,0,0,0,0,0,0,0
俳優,0,0,0,0,0,0,0,0,0,0
実際,0,0,0,0,0,0,1,0,0,0
現実,0,0,0,0,0,0,0,0,0,0
アクチュアリー,0,0,0,0,0,0,0,0,0,0
視力,0,0,0,0,0,0,1,0,0,0
洞察力,0,0,0,0,0,0,1,0,0,0
鍼,0,0,0,0,0,0,0,0,0,0
急に,0,0,0,0,0,0,0,0,0,0
格言,0,0,0,0,0,0,0,0,0,0
断固たる,0,0,0,0,0,0,0,0,0,0
適応する,0,0,0,0,0,0,1,0,0,0
適応可能な,0,0,0,0,0,0,1,0,0,0
追加,0,0,0,0,0,0,0,0,0,0
追加した,0,0,0,0,0,0,0,0,0,0
補遺,0,0,0,0,0,0,0,0,0,0
加算器,1,0,1,1,0,1,0,1,0,0
中毒,0,0,0,0,0,1,0,0,0,0
添加,0,0,0,0,0,0,0,0,0,0
追加,0,0,0,0,0,0,0,0,0,0
添加剤,0,0,0,0,0,0,0,0,0,0
住所,0,0,0,0,0,0,0,0,0,0
宛名,0,0,0,0,0,0,0,0,0,0
住所,0,1,0,0,0,0,1,0,0,0
達人,0,0,0,0,0,0,1,0,0,0
妥当性,0,0,0,0,0,0,1,0,0,0
適切,0,0,0,0,0,0,0,0,0,0
遵守する,0,0,0,0,0,0,0,0,0,0
遵守,0,0,0,0,0,0,0,0,0,0
固執する,0,0,0,0,0,0,0,0,0,0
付着している,0,0,0,0,0,0,0,0,0,1
接着力,0,0,0,0,0,0,0,0,0,0
接着剤,0,0,0,0,0,0,0,0,0,0
さようなら,0,0,0,0,0,0,0,0,0,0
脂肪,0,0,0,0,0,1,0,0,0,0
隣接,0,0,0,0,0,0,0,0,0,0
隣接,0,0,0,0,0,0,0,0,0,0
形容詞,0,0,0,0,0,0,0,0,0,0
隣接,0,0,0,0,0,0,0,0,0,0
休会する,0,0,0,0,0,0,0,0,0,0
延期,0,0,0,0,0,0,0,0,0,0
裁く,0,0,0,1,0,1,0,0,0,0
裁定,0,0,0,0,0,0,0,0,0,0
付属品,0,0,0,0,0,0,1,0,0,0
調整,0,0,0,0,0,0,0,0,0,0
調整,0,0,0,0,0,0,0,0,0,0
アジュバント,0,0,0,0,0,0,0,0,0,0
管理する,0,0,0,0,0,0,0,0,0,0
管理,0,0,0,0,0,0,0,0,0,0
行政,0,0,0,0,0,0,0,0,0,1
立派な,0,0,0,0,1,0,1,0,0,1
提督,0,0,0,0,0,0,1,0,0,1
アドミラルティ,0,0,0,0,0,0,0,0,0,0
感嘆,0,0,0,0,1,0,1,0,0,1
憧れ,0,0,0,0,0,0,1,0,0,1
賛美者,0,0,0,0,0,0,1,0,0,0
許容性,0,0,0,0,0,0,0,0,0,0
許容できる,0,0,0,0,0,0,1,0,0,1
入場料,0,0,0,0,0,0,0,0,0,0
認める,0,0,0,0,0,0,0,0,0,0
アドミタンス,0,0,0,0,0,0,0,0,0,0
認めた,0,0,0,0,0,0,0,0,0,0
認める,0,0,0,0,0,0,0,0,0,0
混合物,0,0,0,0,0,0,0,0,0,0
訓戒,0,0,0,1,0,1,0,0,0,0
騒ぎ,0,0,0,0,0,0,0,0,0,0
アドビ,0,0,0,0,0,0,0,0,0,0
思春期,0,0,0,0,0,0,0,0,0,0
思春期,0,0,0,0,0,0,0,0,0,0
採用,0,0,0,0,0,0,0,0,0,0
可決,0,0,0,0,0,0,0,0,0,0
愛らしい,0,0,0,0,1,0,1,0,0,0
礼拝,0,0,0,0,1,0,1,0,0,1
崇拝します,0,1,0,0,1,0,1,0,0,1
飾る,0,0,0,0,0,0,0,0,0,0
装飾品,0,0,0,0,0,0,0,0,0,0
漂流,0,1,0,1,0,1,0,1,0,0
大人,0,0,0,0,0,0,0,0,0,0
粗悪品,0,0,0,0,0,1,0,0,0,0
姦通,0,0,1,0,0,1,0,1,0,0
前進,0,1,0,1,1,0,1,0,1,0
高度,0,0,0,0,0,0,1,0,0,0
アドバンス,0,0,0,0,0,0,1,0,0,0
前進,0,0,0,0,0,0,0,0,0,0
アドバンテージ,0,0,0,0,0,0,1,0,0,0
有利,0,0,0,0,0,0,1,0,0,0
出現,0,1,0,0,1,0,1,0,0,1
冒険,0,1,0,0,0,0,1,0,0,0
冒険家,0,0,0,0,0,0,0,0,0,0
冒険的な,0,0,0,0,0,0,1,0,0,0
敵対者,1,0,0,0,0,1,0,0,0,0
不利な,1,0,1,1,0,1,0,1,0,0
逆境,1,0,0,1,0,1,0,1,0,0
宣伝する,0,0,0,0,0,0,0,0,0,0
広告,0,0,0,0,0,0,0,0,0,0
アドバイス,0,0,0,0,0,0,0,0,0,1
お勧め,0,0,0,0,0,0,1,0,0,1
助言する,0,0,0,0,0,0,1,0,0,1
助言した,0,0,0,0,0,0,0,0,0,1
忠告,0,0,0,0,0,0,0,0,0,0
顧問,0,0,0,0,0,0,1,0,0,1
擁護,1,1,0,0,1,0,1,0,0,1
提唱する,0,0,0,0,0,0,0,0,0,1
イージス,0,0,0,0,0,0,0,0,0,0
エアレーション,0,0,0,0,0,0,0,0,0,0
空中,0,0,0,0,0,0,0,0,0,0
飛行場,0,0,0,0,0,0,0,0,0,0
空気力学,0,0,0,0,0,0,0,0,0,0
航空学,0,0,0,0,0,0,0,0,0,0
飛行機,0,0,0,0,0,0,0,0,0,0
美的,0,0,0,0,0,0,1,0,0,0
美学,0,0,0,0,1,0,1,0,0,0
病因,0,0,0,0,0,0,0,0,0,0
遠く,0,0,0,0,0,0,0,0,0,0
愛嬌のある,0,0,0,0,0,0,1,0,0,0
事件、出来事,0,0,0,0,0,0,0,0,0,0
影響,0,0,0,0,0,0,0,0,0,0
愛情,0,0,0,0,1,0,1,0,0,1
愛情,0,0,0,0,0,0,0,0,0,0
アフィシェ,0,0,0,0,0,0,0,0,0,0
宣誓供述書,0,0,0,0,0,0,0,0,0,0
提携している,0,0,0,0,0,0,1,0,0,0
所属,0,0,0,0,0,0,0,0,0,0
親和性,0,0,0,0,0,0,0,0,0,0
肯定する,0,0,0,0,0,0,1,0,0,1
肯定,0,0,0,0,0,0,1,0,0,0
肯定的,0,0,0,0,0,0,1,0,0,0
肯定的に,0,0,0,0,0,0,1,0,0,1
接辞,0,0,0,0,0,0,0,0,0,0
苦しめる,0,0,0,1,0,1,0,1,0,0
苦しんだ,0,0,0,0,0,1,0,0,0,0
苦悩,0,0,1,1,0,1,0,1,0,0
豊かさ,0,0,0,0,1,0,1,0,0,0
裕福な,0,0,0,0,0,0,1,0,0,0
余裕ある,0,0,0,0,0,0,1,0,0,0
侮辱,1,0,1,1,0,1,0,1,1,0
遠く,0,0,0,0,0,0,0,0,0,0
前に,0,0,0,0,0,0,0,0,0,0
前述の,0,0,0,0,0,0,0,0,0,0
前述の,0,0,0,0,0,0,0,0,0,0
恐れ,0,0,0,1,0,1,0,0,0,0
あらためて,0,0,0,0,0,0,0,0,0,0
後方,0,0,0,0,0,0,0,0,0,0
余波,1,0,1,1,0,1,0,1,0,0
午後,0,0,0,0,0,0,0,0,0,0
後味,0,0,0,0,0,1,0,0,0,0
結果論,0,0,0,0,0,0,0,0,0,0
アガ,0,0,0,1,0,0,1,0,0,1
瑪瑙,0,0,0,0,0,0,0,0,0,0
年,0,0,0,0,0,0,0,0,0,0
高齢者,0,0,0,0,0,0,0,0,0,0
エージェンシー,0,0,0,0,0,0,0,0,0,0
エージェント,0,0,0,0,0,0,0,0,0,0
凝集,0,0,0,0,0,0,0,0,0,0
悪化した,1,0,0,0,0,1,0,0,0,0
悪化させる,1,0,0,0,0,1,0,1,0,0
悪化,1,0,1,0,0,1,0,0,0,0
集計,0,0,0,0,0,0,0,0,0,0
集計,0,0,0,0,0,0,0,0,0,0
侵略,1,0,0,1,0,1,0,0,0,0
攻撃的,1,0,0,1,0,1,0,0,0,0
侵略者,1,0,0,1,0,1,0,0,0,0
びっくり,0,0,1,1,0,1,0,0,1,0
アジャイル,0,0,0,0,0,0,1,0,0,0
機敏,0,0,0,0,0,0,1,0,0,0
動揺した,1,0,0,0,0,1,0,0,0,0
攪拌,1,0,0,0,0,1,0,0,0,0
不可知論者,0,0,0,0,0,0,0,0,0,0
前に,0,0,0,0,0,0,0,0,0,0
苦しむ,0,0,0,1,0,1,0,0,0,0
苦痛,1,0,0,1,0,1,0,1,0,0
同意,0,0,0,0,0,0,1,0,0,0
納得,0,0,0,0,0,0,1,0,0,1
同意した,0,0,0,0,0,0,1,0,0,1
同意する,0,0,0,0,0,0,1,0,0,1
合意,0,0,0,0,0,0,1,0,0,1
農業,0,0,0,0,0,0,0,0,0,0
農業,0,0,0,0,0,0,1,0,0,0
座礁,0,0,0,0,0,1,0,0,0,0
アグア,0,0,0,0,0,0,0,0,0,0
先に,0,0,0,0,0,0,1,0,0,0
援助,0,0,0,0,0,0,1,0,0,0
助ける,0,0,0,0,0,0,1,0,0,0
よくない,0,0,0,0,0,1,0,1,0,0
病んでいる,0,0,0,1,0,1,0,1,0,0
病気,0,0,0,0,0,0,0,0,0,0
標的,0,0,0,0,0,0,0,0,0,0
あてもなく,0,0,0,0,0,1,0,0,0,0
空気,0,0,0,0,0,0,0,0,0,0
エアバッグ,0,0,0,0,0,0,0,0,0,0
空輸,0,0,0,0,0,0,0,0,0,0
航空会社,0,0,0,0,0,0,0,0,0,0
エアマン,0,0,0,0,0,0,0,0,0,0
飛行機,0,0,0,0,0,0,0,0,0,0
空港,0,1,0,0,0,0,0,0,0,0
放映,0,0,1,0,0,1,0,0,0,0
飛行船,0,0,0,0,0,0,0,0,0,0
通路,0,0,0,0,0,0,0,0,0,0
エイト,0,0,0,0,0,0,0,0,0,0
半開き,0,0,0,0,0,0,0,0,0,0
同族の,0,0,0,0,0,0,0,0,0,1
アラバスター,0,0,0,0,0,0,1,0,0,0
警報,0,0,0,1,0,1,0,0,1,0
憂慮すべき,0,0,0,1,0,1,0,0,1,0
アルブ,0,0,0,0,0,0,0,0,0,1
アルバム,0,0,0,0,0,0,0,0,0,0
錬金術,0,0,0,0,0,0,0,0,0,0
アルコール,0,0,0,0,0,0,0,0,0,0
アルコール依存症,1,0,1,1,0,1,0,1,0,0
アルコーブ,0,0,0,0,0,0,0,0,0,0
アラート,0,0,0,0,0,0,0,0,0,0
覚醒,0,1,0,1,0,0,1,0,1,0
アラート,0,1,0,1,0,0,0,0,1,0
アルファルファ,0,0,0,0,0,0,0,0,0,0
代数,0,0,0,0,0,0,0,0,0,0
代数的,0,0,0,0,0,0,0,0,0,0
アルゴリズム,0,0,0,0,0,0,0,0,0,0
アリバイ,0,0,0,0,0,0,0,0,0,0
エイリアン,0,0,1,1,0,1,0,0,0,0
疎外する,1,0,1,0,0,1,0,0,0,0
疎外された,0,0,0,0,0,1,0,1,0,0
疎外,1,0,1,1,0,1,0,1,0,0
降りる,0,0,0,0,0,0,0,0,0,0
整列,0,0,0,0,0,0,0,0,0,0
アラインメント,0,0,0,0,0,0,0,0,0,0
似ている,0,0,0,0,0,0,0,0,0,0
栄養補給,0,0,0,0,0,0,1,0,0,0
慰謝料,0,0,0,0,0,1,0,0,0,0
アリコート,0,0,0,0,0,0,0,0,0,0
生きている,0,1,0,0,1,0,1,0,0,1
アルカリ,0,0,0,0,0,0,0,0,0,0
アルカロイド,0,0,0,0,0,0,0,0,0,0
和らげる,0,0,0,0,0,0,1,0,0,0
申し立て,1,0,0,0,0,1,0,0,0,0
主張する,0,0,0,0,0,1,0,0,0,0
申し立てられた,0,0,0,0,0,0,0,0,0,0
忠誠,0,0,0,0,0,0,1,0,0,1
寓話的な,0,0,0,0,0,0,0,0,0,0
アレゴリー,0,0,0,0,0,0,0,0,0,0
アレグロ,0,0,0,0,0,0,1,0,0,0
緩和する,0,0,0,0,0,0,1,0,0,0
軽減,0,0,0,0,0,0,1,0,0,0
路地,0,0,0,0,0,0,0,0,0,0
アライアンス,0,0,0,0,0,0,0,0,0,1
同盟した,0,0,0,0,0,0,1,0,0,1
アリゲーター,0,0,0,0,0,0,0,0,0,0
割り当てる,0,0,0,0,0,0,0,0,0,0
割り当て,0,0,0,0,0,0,0,0,0,0
割り当てる,0,0,0,0,0,0,0,0,0,0
割当,0,0,0,0,0,0,0,0,0,0
許容できる,0,0,0,0,0,0,1,0,0,0
手当,0,0,0,0,0,0,0,0,0,0
許可された,0,0,0,0,0,0,0,0,0,0
合金,0,0,0,0,0,0,0,0,0,0
魅力,0,1,0,0,1,0,1,0,1,0
魅力的な,0,0,0,0,0,0,1,0,0,0
ほのめかし,0,0,0,0,0,0,0,0,0,0
沖積,0,0,0,0,0,0,0,0,0,0
味方,0,0,0,0,0,0,1,0,0,1
アルマナック,0,0,0,0,0,0,0,0,0,0
全能,0,0,0,0,0,0,1,0,0,0
アロフト,0,0,0,0,0,0,0,0,0,0
アロハ,0,1,0,0,1,0,1,0,0,0
並んで,0,0,0,0,0,0,0,0,0,0
よそよそしい,0,0,0,0,0,1,0,0,0,0
大声で,0,0,0,0,0,0,0,0,0,0
アルファベット,0,0,0,0,0,0,0,0,0,0
アルファベット順,0,0,0,0,0,0,0,0,0,0
祭壇,0,0,0,0,0,0,0,0,0,0
変更する,0,0,0,0,0,0,0,0,0,0
変更,0,0,0,0,0,0,0,0,0,0
口論,1,0,0,0,0,1,0,0,0,0
変更されました,0,0,0,0,0,0,0,0,0,0
代わりの,0,0,0,0,0,0,0,0,0,0
別,0,0,0,0,0,0,0,0,0,0
高度,0,0,0,0,0,0,0,0,0,0
アルト,0,0,0,0,0,0,0,0,0,0
全体的に,0,0,0,0,0,0,0,0,0,0
卒業生,0,0,0,0,0,0,0,0,0,0
肺胞,0,0,0,0,0,0,0,0,0,0
アマルガム,0,0,0,0,0,0,0,0,0,0
合併,0,0,0,0,0,0,0,0,0,0
集める,0,0,0,0,0,0,0,0,0,0
アマチュア,0,0,0,0,0,0,0,0,0,0
驚く,0,0,0,0,0,0,0,0,1,0
驚き,0,0,0,0,0,0,0,0,0,0
驚くほど,0,0,0,0,1,0,1,0,1,0
大使,0,0,0,0,0,0,1,0,0,1
アンバー,0,0,0,0,0,0,0,0,0,0
周囲,0,0,0,0,0,0,0,0,0,0
あいまいさ,0,0,0,0,0,0,0,0,0,0
あいまいな,0,0,0,0,0,1,0,0,0,0
アンビット,0,0,0,0,0,0,0,0,0,0
野心,0,1,0,0,1,0,1,0,0,1
野心的,0,0,0,0,0,0,0,0,0,0
救急車,0,0,0,1,0,0,0,0,0,1
待ち伏せ,1,0,0,1,0,1,0,0,1,0
改善する,0,0,0,0,0,0,1,0,0,0
アーメン,0,0,0,0,1,0,1,0,0,1
従順,0,0,0,0,0,0,1,0,0,0
改める,0,0,0,0,0,0,1,0,0,0
修正,0,0,0,0,0,0,0,0,0,0
修正する,0,0,0,0,0,0,1,0,0,0
アメニティ,0,0,0,0,0,0,1,0,0,0
アメジスト,0,0,0,0,0,0,0,0,0,0
愛嬌のある,0,0,0,0,0,0,1,0,0,0
友好的,0,0,0,0,1,0,1,0,0,0
真ん中,0,0,0,0,0,0,0,0,0,0
中に,0,0,0,0,0,0,0,0,0,0
アンモニア,0,0,1,0,0,0,0,0,0,0
弾薬,0,0,0,0,0,0,0,0,0,0
健忘症,0,0,0,0,0,1,0,0,0,0
恩赦,0,0,0,0,1,0,1,0,0,0
まとまりのない,0,0,0,0,0,0,0,0,0,0
償却,0,0,0,0,0,0,0,0,0,1
額,0,0,0,0,0,0,0,0,0,0
情事,0,1,0,0,1,0,1,0,0,1
アンパサンド,0,0,0,0,0,0,0,0,0,0
アンフェタミン,0,0,1,0,0,1,0,0,0,0
両生類,0,0,0,0,0,0,0,0,0,0
水陸両用,0,0,0,0,0,0,0,0,0,0
円形劇場,0,0,0,0,0,0,0,0,0,0
増幅,0,0,0,0,0,0,0,0,0,0
増幅する,0,0,0,0,0,0,0,0,0,0
振幅,0,0,0,0,0,0,0,0,0,0
十分に,0,0,0,0,0,0,0,0,0,0
切断,0,0,0,0,0,0,0,0,0,0
お守り,0,0,0,0,0,0,0,0,0,0
アミューズ,0,0,0,0,1,0,1,0,0,0
面白がった,0,0,0,0,1,0,1,0,0,0
アミューズメント,0,0,0,0,1,0,1,0,0,0
面白い,0,0,0,0,1,0,1,0,0,0
アナ,0,0,0,0,0,0,0,0,0,0
アナコンダ,0,0,1,1,0,1,0,0,0,0
麻酔,0,0,0,0,0,0,0,0,0,0
麻酔薬,0,0,0,0,0,0,0,0,0,0
アナル,0,0,0,0,0,1,0,0,0,0
鎮痛剤,0,0,0,0,0,0,0,0,0,0
類似の,0,0,0,0,0,0,0,0,0,0
アナログ,0,0,0,0,0,0,0,0,0,0
類推,0,0,0,0,0,0,0,0,0,0
分析,0,0,0,0,0,0,0,0,0,0
アナリスト,0,1,0,0,0,0,1,0,0,1
分析的な,0,0,0,0,0,0,0,0,0,0
分析する,0,0,0,0,0,0,0,0,0,0
アナライザ,0,0,0,0,0,0,0,0,0,0
アナキズム,1,0,0,1,0,1,0,0,0,0
アナキスト,1,0,0,1,0,1,0,0,0,0
無政府状態,1,0,0,1,0,1,0,0,0,0
吻合,0,0,0,0,0,0,0,0,0,0
アナテマ,1,0,1,1,0,1,0,1,0,0
解剖学的,0,0,0,0,0,0,0,0,0,0
解剖学,0,0,0,0,0,0,0,0,0,0
祖先,0,0,0,0,0,0,0,0,0,0
祖先の,0,0,0,0,0,0,0,0,0,1
祖先,0,0,0,0,0,0,0,0,0,0
アンカー,0,0,0,0,0,0,1,0,0,0
停泊地,0,0,0,0,0,0,1,1,0,0
古代,0,0,0,0,0,1,0,0,0,0
補助的な,0,0,0,0,0,0,0,0,0,0
アンドロゲン,0,0,0,0,0,0,0,0,0,0
アネモネ,0,0,0,0,0,0,0,0,0,0
あらためて,0,0,0,0,0,0,0,0,0,0
天使,0,1,0,0,1,0,1,0,1,1
天使のような,0,0,0,0,1,0,1,0,0,1
怒り,1,0,0,0,0,1,0,0,0,0
狭心症,0,0,0,1,0,1,0,0,0,0
血管造影,0,0,0,0,0,0,0,0,0,0
角度,0,0,0,0,0,0,0,0,0,0
釣り,0,1,0,0,0,1,0,0,0,0
怒り,1,0,1,0,0,1,0,0,0,0
苦悩,1,0,0,1,0,1,0,1,0,0
角度のある,0,0,0,0,0,0,0,0,0,0
無水,0,0,0,0,0,0,0,0,0,0
動物,0,0,0,0,0,0,0,0,0,0
アニメーション化,0,0,0,0,0,0,1,0,0,0
アニメーション,0,0,0,0,1,0,1,0,0,0
アニメーション,0,0,0,0,0,0,0,0,0,0
敵意,1,0,1,1,0,1,0,1,0,0
敵意,1,0,0,0,0,1,0,0,0,0
足首,0,0,0,0,0,0,0,0,0,0
年表,0,0,0,0,0,0,0,0,0,0
別館,0,0,0,0,0,0,0,0,0,0
併合,0,0,0,0,0,0,0,0,0,0
別館,0,0,0,0,0,0,0,0,0,0
全滅させる,1,0,0,1,0,1,0,0,0,0
全滅した,1,0,0,1,0,1,0,1,0,0
消滅,1,0,0,1,0,1,0,1,0,0
注釈を付ける,0,0,0,0,0,0,0,0,0,0
注釈,0,0,0,0,0,0,0,0,0,0
発表,0,0,0,0,0,0,0,0,0,0
発表,0,1,0,0,0,0,0,0,0,0
迷惑,1,0,1,0,0,1,0,0,0,0
迷惑,1,0,1,0,0,1,0,0,0,0
迷惑,1,0,0,0,0,1,0,0,0,0
年金,0,0,0,0,0,0,0,0,0,0
無効にする,0,0,0,0,0,1,0,0,0,0
環状,0,0,0,0,0,0,0,0,0,0
廃止,0,0,0,0,0,1,0,1,0,0
環,0,0,0,0,0,0,0,0,0,0
油注ぎ,0,0,0,0,0,0,0,0,0,0
異常な,0,0,0,0,0,0,0,0,0,0
異常,0,0,0,1,0,1,0,0,1,0
アノン,0,0,0,0,0,0,0,0,0,0
匿名,0,0,0,0,0,1,0,0,0,0
答え,0,0,0,0,0,0,0,0,0,0
答えられる,0,0,0,0,0,0,0,0,0,1
答える,0,0,0,0,0,0,0,0,0,0
蟻,0,0,0,0,0,0,0,0,0,0
拮抗,1,0,0,0,0,1,0,0,0,0
拮抗薬,1,0,0,0,0,1,0,0,0,0
敵対的,1,0,1,0,0,1,0,0,0,0
アンティ,0,0,0,0,0,0,0,0,0,0
前科,0,0,0,0,0,0,0,0,0,0
カモシカ,0,0,0,0,0,0,0,0,0,0
アンテナ,0,0,0,0,0,0,0,0,0,0
前方,0,0,0,0,0,0,0,0,0,0
国歌,0,0,0,0,0,0,0,0,0,0
